_id,time,RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4,target,target_label,group,group_label
25,0.0,-0.57143,-0.36,0.57143,0.8,1,Movement,1,environment_1
25,0.125,-0.7619,-0.24,0.42857,0.65,1,Movement,1,environment_1
25,0.25,-0.9523799999999999,-0.2,0.14286,0.8,1,Movement,1,environment_1
25,0.375,-0.85714,-0.16,0.14286,0.55,1,Movement,1,environment_1
25,0.5,-0.66667,-0.2,0.38095,0.35,1,Movement,1,environment_1
25,0.625,-0.57143,-0.48,0.2381,0.5,1,Movement,1,environment_1
25,0.75,-0.47618999999999995,-0.4,0.14286,0.15,1,Movement,1,environment_1
25,0.875,-0.28570999999999996,-0.08,-0.2381,0.15,1,Movement,1,environment_1
25,1.0,-0.28570999999999996,-0.08,0.0,0.3,1,Movement,1,environment_1
25,1.125,-0.28570999999999996,-0.12,0.14286,0.35,1,Movement,1,environment_1
25,1.25,-0.28570999999999996,-0.48,0.0,0.25,1,Movement,1,environment_1
25,1.375,-0.2381,-0.48,0.0,0.2,1,Movement,1,environment_1
25,1.5,-0.2381,-0.2,0.14286,0.1,1,Movement,1,environment_1
25,1.625,-0.2381,0.0,-0.047619,0.0,1,Movement,1,environment_1
25,1.75,-0.33333,-0.04,0.14286,0.15,1,Movement,1,environment_1
25,1.875,-0.047619,-0.08,-0.047619,-0.2,1,Movement,1,environment_1
25,2.0,-0.14286,-0.28,0.0,-0.2,1,Movement,1,environment_1
25,2.125,-0.42857,-0.32,0.047619,0.0,1,Movement,1,environment_1
25,2.25,-0.2381,-0.36,0.047619,-0.45,1,Movement,1,environment_1
25,2.375,-0.19047999999999998,0.0,-0.14286,0.05,1,Movement,1,environment_1
25,2.5,-0.14286,0.04,0.047619,0.05,1,Movement,1,environment_1
25,2.625,0.0,0.04,-0.42857,0.05,1,Movement,1,environment_1
25,2.75,0.047619,-0.08,-0.047619,0.2,1,Movement,1,environment_1
25,2.875,0.047619,-0.68,-0.14286,-0.05,1,Movement,1,environment_1
26,0.0,-1.0,-0.4,0.7619,0.35,1,Movement,1,environment_1
26,0.125,-1.0,-0.36,0.71429,0.55,1,Movement,1,environment_1
26,0.25,-1.0,-0.76,0.71429,0.4,1,Movement,1,environment_1
26,0.375,-0.80952,-0.64,0.85714,0.55,1,Movement,1,environment_1
26,0.5,-1.0,-0.56,0.7619,0.65,1,Movement,1,environment_1
26,0.625,-0.57143,-0.44,0.57143,0.75,1,Movement,1,environment_1
26,0.75,-0.66667,-0.28,0.52381,0.8,1,Movement,1,environment_1
26,0.875,-0.85714,-0.36,0.19047999999999998,0.55,1,Movement,1,environment_1
26,1.0,-0.52381,-0.24,-0.14286,0.65,1,Movement,1,environment_1
26,1.125,-0.52381,-0.4,0.28570999999999996,0.35,1,Movement,1,environment_1
26,1.25,-0.33333,-0.32,0.28570999999999996,0.2,1,Movement,1,environment_1
26,1.375,-0.47618999999999995,-0.2,0.2381,0.35,1,Movement,1,environment_1
26,1.5,-0.57143,-0.32,0.14286,0.15,1,Movement,1,environment_1
26,1.625,-0.28570999999999996,-0.16,-0.7619,0.35,1,Movement,1,environment_1
26,1.75,-0.28570999999999996,-0.12,0.0,0.35,1,Movement,1,environment_1
26,1.875,-0.28570999999999996,-0.2,0.095238,-0.1,1,Movement,1,environment_1
26,2.0,-0.19047999999999998,-0.4,-0.047619,0.2,1,Movement,1,environment_1
26,2.125,-0.19047999999999998,-0.08,0.14286,0.15,1,Movement,1,environment_1
26,2.25,-0.19047999999999998,0.0,-0.14286,0.05,1,Movement,1,environment_1
26,2.375,-0.33333,0.04,0.14286,0.1,1,Movement,1,environment_1
26,2.5,-0.047619,0.04,0.095238,-0.25,1,Movement,1,environment_1
26,2.625,-0.2381,-0.08,-0.14286,-0.15,1,Movement,1,environment_1
26,2.75,-0.33333,-0.2,-0.14286,0.05,1,Movement,1,environment_1
26,2.875,-0.42857,-0.52,-0.33333,0.05,1,Movement,1,environment_1
26,3.0,-0.2381,0.0,0.0,0.0,1,Movement,1,environment_1
26,3.125,-0.14286,0.04,0.0,0.1,1,Movement,1,environment_1
27,0.0,-0.57143,-0.12,-0.28570999999999996,-0.05,-1,Non-Movement,1,environment_1
27,0.125,-0.57143,-0.16,0.14286,-0.15,-1,Non-Movement,1,environment_1
27,0.25,-0.57143,-0.2,-0.19047999999999998,0.05,-1,Non-Movement,1,environment_1
27,0.375,-0.52381,-0.2,0.0,-0.1,-1,Non-Movement,1,environment_1
27,0.5,-0.90476,-0.08,-0.66667,0.3,-1,Non-Movement,1,environment_1
27,0.625,-0.85714,0.0,0.14286,0.25,-1,Non-Movement,1,environment_1
27,0.75,-0.66667,-0.32,0.047619,0.25,-1,Non-Movement,1,environment_1
27,0.875,-0.42857,-0.56,-0.28570999999999996,0.35,-1,Non-Movement,1,environment_1
27,1.0,-0.28570999999999996,-0.2,-0.14286,0.0,-1,Non-Movement,1,environment_1
27,1.125,-0.2381,-0.2,0.14286,0.3,-1,Non-Movement,1,environment_1
27,1.25,-0.52381,-0.2,0.047619,0.5,-1,Non-Movement,1,environment_1
27,1.375,-0.61905,-0.08,-0.047619,0.6,-1,Non-Movement,1,environment_1
27,1.5,-0.52381,0.04,0.2381,0.1,-1,Non-Movement,1,environment_1
27,1.625,-0.28570999999999996,0.04,-0.14286,-0.05,-1,Non-Movement,1,environment_1
27,1.75,-0.38095,0.16,-0.33333,0.0,-1,Non-Movement,1,environment_1
27,1.875,-0.57143,0.16,0.14286,-0.25,-1,Non-Movement,1,environment_1
27,2.0,-0.80952,0.12,-0.38095,-0.6,-1,Non-Movement,1,environment_1
27,2.125,-0.52381,0.32,0.0,0.15,-1,Non-Movement,1,environment_1
27,2.25,-0.57143,0.16,-0.52381,-0.15,-1,Non-Movement,1,environment_1
27,2.375,-1.0,0.16,-0.19047999999999998,0.6,-1,Non-Movement,1,environment_1
27,2.5,-0.47618999999999995,0.12,0.28570999999999996,-0.05,-1,Non-Movement,1,environment_1
27,2.625,-0.9523799999999999,0.0,-0.2381,0.2,-1,Non-Movement,1,environment_1
27,2.75,-0.33333,0.08,0.14286,0.05,-1,Non-Movement,1,environment_1
27,2.875,-1.0,-0.16,0.047619,0.35,-1,Non-Movement,1,environment_1
27,3.0,-0.28570999999999996,0.04,0.0,-0.4,-1,Non-Movement,1,environment_1
27,3.125,-0.095238,0.04,-0.19047999999999998,-0.4,-1,Non-Movement,1,environment_1
27,3.25,-0.2381,-0.76,0.047619,-0.15,-1,Non-Movement,1,environment_1
27,3.375,-0.42857,0.08,0.14286,0.05,-1,Non-Movement,1,environment_1
27,3.5,-0.38095,-0.04,0.14286,0.05,-1,Non-Movement,1,environment_1
28,0.0,-1.0,-0.44,-0.38095,0.4,-1,Non-Movement,1,environment_1
28,0.125,-1.0,-0.48,0.14286,0.25,-1,Non-Movement,1,environment_1
28,0.25,-1.0,-0.48,-0.38095,-0.2,-1,Non-Movement,1,environment_1
28,0.375,-1.0,-0.48,-0.14286,0.45,-1,Non-Movement,1,environment_1
28,0.5,-0.66667,-0.08,0.0,0.1,-1,Non-Movement,1,environment_1
28,0.625,-0.71429,-0.04,0.0,0.05,-1,Non-Movement,1,environment_1
28,0.75,-0.80952,-0.32,0.095238,0.2,-1,Non-Movement,1,environment_1
28,0.875,-0.90476,-0.2,-0.42857,-0.05,-1,Non-Movement,1,environment_1
28,1.0,-0.66667,-0.32,-0.28570999999999996,0.15,-1,Non-Movement,1,environment_1
28,1.125,-0.57143,-0.24,-0.14286,0.3,-1,Non-Movement,1,environment_1
28,1.25,-0.57143,-0.28,-0.33333,0.0,-1,Non-Movement,1,environment_1
28,1.375,-0.71429,-0.36,0.0,0.25,-1,Non-Movement,1,environment_1
28,1.5,-1.0,-0.56,0.14286,0.35,-1,Non-Movement,1,environment_1
28,1.625,-1.0,-0.6,-0.2381,0.45,-1,Non-Movement,1,environment_1
28,1.75,-1.0,-0.32,-0.14286,0.45,-1,Non-Movement,1,environment_1
28,1.875,-1.0,-0.12,-0.71429,0.35,-1,Non-Movement,1,environment_1
28,2.0,-0.9523799999999999,-0.08,-0.42857,0.0,-1,Non-Movement,1,environment_1
28,2.125,-0.42857,0.04,-0.095238,0.0,-1,Non-Movement,1,environment_1
28,2.25,-0.57143,-0.08,0.047619,0.35,-1,Non-Movement,1,environment_1
28,2.375,-0.47618999999999995,-0.2,-0.14286,0.2,-1,Non-Movement,1,environment_1
28,2.5,-0.42857,-0.08,-0.42857,0.35,-1,Non-Movement,1,environment_1
28,2.625,-0.19047999999999998,-0.24,0.0,-0.1,-1,Non-Movement,1,environment_1
28,2.75,-0.28570999999999996,-0.36,-0.14286,0.5,-1,Non-Movement,1,environment_1
28,2.875,-0.7619,-0.08,-0.28570999999999996,0.65,-1,Non-Movement,1,environment_1
28,3.0,-0.28570999999999996,0.04,0.14286,0.65,-1,Non-Movement,1,environment_1
28,3.125,-0.71429,0.04,0.28570999999999996,0.2,-1,Non-Movement,1,environment_1
28,3.25,-0.57143,-0.12,0.14286,-0.35,-1,Non-Movement,1,environment_1
28,3.375,-0.47618999999999995,0.0,-0.19047999999999998,0.25,-1,Non-Movement,1,environment_1
28,3.5,-0.47618999999999995,0.04,-0.047619,0.3,-1,Non-Movement,1,environment_1
29,0.0,-1.0,-0.2,0.19047999999999998,0.3,-1,Non-Movement,1,environment_1
29,0.125,-0.66667,-0.36,0.19047999999999998,0.3,-1,Non-Movement,1,environment_1
29,0.25,-0.66667,-0.2,-0.14286,0.35,-1,Non-Movement,1,environment_1
29,0.375,-0.85714,-0.12,-0.14286,0.35,-1,Non-Movement,1,environment_1
29,0.5,-0.71429,-0.2,0.14286,0.2,-1,Non-Movement,1,environment_1
29,0.625,-0.71429,-0.24,0.0,0.05,-1,Non-Movement,1,environment_1
29,0.75,-0.61905,-0.36,0.0,-0.5,-1,Non-Movement,1,environment_1
29,0.875,-0.52381,-0.4,0.047619,-0.3,-1,Non-Movement,1,environment_1
29,1.0,-0.57143,-0.4,0.2381,-0.3,-1,Non-Movement,1,environment_1
29,1.125,-0.57143,-0.28,0.28570999999999996,0.05,-1,Non-Movement,1,environment_1
29,1.25,-0.85714,-0.48,0.2381,0.35,-1,Non-Movement,1,environment_1
29,1.375,-0.9523799999999999,-0.32,-0.095238,0.3,-1,Non-Movement,1,environment_1
29,1.5,-1.0,-0.32,-0.38095,0.15,-1,Non-Movement,1,environment_1
29,1.625,-1.0,-0.36,0.14286,0.2,-1,Non-Movement,1,environment_1
29,1.75,-0.85714,-0.64,-0.095238,0.5,-1,Non-Movement,1,environment_1
29,1.875,-0.85714,-0.28,0.14286,0.35,-1,Non-Movement,1,environment_1
29,2.0,-0.66667,-0.12,0.0,0.35,-1,Non-Movement,1,environment_1
29,2.125,-0.52381,-0.12,0.047619,-0.3,-1,Non-Movement,1,environment_1
29,2.25,-0.57143,-0.12,-0.14286,0.2,-1,Non-Movement,1,environment_1
29,2.375,-0.85714,-0.08,-0.19047999999999998,0.25,-1,Non-Movement,1,environment_1
29,2.5,-0.47618999999999995,-0.2,-0.14286,0.2,-1,Non-Movement,1,environment_1
29,2.625,-0.42857,-0.44,-0.28570999999999996,0.2,-1,Non-Movement,1,environment_1
29,2.75,-0.28570999999999996,-0.32,0.14286,-0.1,-1,Non-Movement,1,environment_1
29,2.875,-0.28570999999999996,-0.52,-0.14286,0.35,-1,Non-Movement,1,environment_1
29,3.0,-0.71429,-0.08,0.0,0.55,-1,Non-Movement,1,environment_1
